id,first_name,last_name,password,checking,savings,active,overdraft_count,has_checking,has_savings
10001,William,Hartnell,4fg56,100,,true,0,true,false
10002,Patrick,Troughton,serf,,200,true,1,false,true
10003,Jon,Pertwee,233!,-65,250,false,2,true,true
10004,Tom,Baker,ee,,,true,0,false,false
10005,Peter,Davison,werf345,58,,false,4,true,false
10006,Suresh,Sigera,wergt,63,,false,3,true,false
10007,James,Taylor,#@FG,-10,,false,2,true,false
10008,Melvin,Gordon,GD4dS,-35,2567,true,1,true,true
10009,Stacey,Abrams,!fiuenrg,,3452345,true,1,false,true
100010,Jake,Paul,wegtr,10000,-10,true,0,true,true
100011,rtg,drg,2435365,5000,,true,0,true,false
100012,Devlin,Booth,123456,,,true,0,false,false
100013,Raghad,Albeladi,R123,,,true,0,false,false
100014,Raghad,Albeladi,R123,,,true,0,false,false
100015,Raghad,Albeladi,R123,0,,true,0,true,false
100016,R,R,R123,0,,true,0,true,false
100017,RR,RR,RR123,0,0,true,0,true,true
100018,ro,ro,1231,0,,true,0,true,false
100019,sultan,alharbi,123123,0,,true,0,true,false
100020,t,t,123,198,,true,0,true,false
100021,Abdullah,Aldafas,123,0,300,true,0,true,true
100022,rb,rb,123,-135,0,true,1,true,true
100023,Cynthia,Castillo,Abc123,-60,0,true,1,true,true
